,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Atu0001,166.1733509056871,-0.21017152916440887,0.16696289795575028,-1.2321829085585552,0.20315681283335874,0.30808757716413615
Atu0002,352.68733282790396,-0.45333402062826383,0.14065752490244612,-3.2412923041017243,0.0006165896851433929,0.002072377098027477
Atu0003,422.4314970631121,-0.39971355870585146,0.10986490776930898,-2.9532125629511556,0.0016101850274067898,0.00457939018730371
Atu0004,311.6351096829054,-0.42352155674830244,0.1382855341595066,-3.0781206327049184,0.0023351461651495375,0.006661853550210672
Atu0005,830.5539917197049,0.1299916998600526,0.1491653148772778,0.9017887018218811,0.32697821011937606,0.43638553338933084
Atu0006,2932.693753883907,-0.5363057197107769,0.14740362864937126,-3.36262837942588,0.0004078306734438893,0.0013408537857122521
Atu0007,775.8055299637589,1.3629538006190764,0.1373308128913608,10.072223658666283,4.5566757913887145e-25,1.7016232038204226e-23
Atu0008,1384.4466253628698,0.5416253957955803,0.11086852495848995,4.582415328709363,2.3649872870705883e-06,1.3838695603783697e-05
Atu0009,796.4430286206328,1.0007919077401668,0.11087140812586851,9.56793063440499,8.82473116664748e-20,2.5154324130762146e-18
Atu0010,517.1595019345291,1.0810161673550998,0.19219242000246406,5.950903007507312,2.060136121555911e-09,2.0389140908367688e-08
Atu0011,128.64270539936103,1.5626630124600802,0.18377505160141341,8.386369018175134,4.789291436737971e-16,1.1387164940468454e-14
Atu0012,4735.130098749364,0.09830984952918384,0.09649559901656231,0.94394441241564,0.3570366688993817,0.45825732181900003
Atu0013,208.74549433591503,-0.5611215105255548,0.23749866536092623,-2.554321215629078,0.014806225272160006,0.030071367444793825
Atu0014,1566.0821903504552,-0.7224405766126977,0.24514697863633772,-2.5630759740481732,0.007084559302745001,0.017551517398964576
Atu0015,996.8190427664549,0.18709111431783026,0.11452230984416067,1.6074391303092361,0.08379720987336986,0.13610074461730706
Atu0016,1466.0684705854528,0.4210918460226848,0.1200413309853592,3.5441884296581776,0.00032655603481579086,0.00115136625245321
Atu0017,693.1750209529105,0.22128660325464242,0.13750655369210946,1.6602218561828896,0.0924144896276741,0.15352048355520279
Atu0018,3253.6003045553903,-0.08967873456274073,0.10100076568206663,-0.8550925436613122,0.4136518660569777,0.5525061147049853
Atu0019,2519.381090802029,-0.03104470194720386,0.1271632337420851,-0.2512839485742184,0.8235466227742625,0.7924720405616661
Atu0020,3137.8758076561803,-0.11648041859064327,0.08563327178413886,-1.114972931019843,0.22221313897864686,0.3124997202002911
Atu0021,2351.758098252872,0.4655428823366771,0.12661315437837492,4.102674675783026,4.6126030202474804e-05,0.0002254447337636668
Atu0022,2106.5055488751163,-0.053739916950470853,0.21022147730360713,-0.24887872424601787,0.7992979879899931,0.8594696027110756
