,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Atu0001,174.39410446006266,0.11942194893267247,0.26766648078264327,0.43566164873582297,0.6517796108093769,0.8316637083836975
Atu0002,305.79214748890246,-0.38926719598274034,0.1838076886037052,-2.3369952551476625,0.016325847455789497,0.08461896850212346
Atu0003,456.50965851632225,-0.2176914013038249,0.18650585438409656,-1.192645590890346,0.20465745421479462,0.46115465013848006
Atu0004,245.03511956400942,0.01604575855090772,0.212413719090173,0.07481926579391412,0.9380299652440519,0.9887830372182268
Atu0005,809.1165364077905,0.013561542406315895,0.20505321324306985,0.0672840120772043,0.9488384283920495,1.0062172947361656
Atu0006,3615.2758804556574,-0.010968431029275975,0.19790683998098732,-0.059277713266994374,1.0101041832805224,0.9626412221428772
Atu0007,677.5216292067671,0.4865125987984451,0.2639482079408995,1.8287177553924372,0.06598838309113905,0.23144135350357908
Atu0008,1322.5209987008552,0.2834443349566633,0.18202468681866185,1.440546818497578,0.14950187571160617,0.3818356098328754
Atu0009,647.9621932449465,0.3174929358406423,0.1612544680722093,1.9154318143800257,0.05392166654589614,0.20089909948022944
Atu0010,386.283770575093,0.7171166700859591,0.23699460580424023,3.0466906318770683,0.0014934392310740688,0.013343192950972645
Atu0011,78.6524469439202,0.2951458466944294,0.37160179264584886,0.8204537958706748,0.4083295068655873,0.6306917918569701
Atu0012,3977.448271840674,-0.12323527095212569,0.17428238776913801,-0.7682455891782607,0.43939344805429104,0.7050831460744286
Atu0013,549.8653581132752,0.13652124348027986,0.4869237900887989,0.27253504900403525,0.7821017144778295,0.8850619503410215
Atu0014,1569.8081198100208,0.015013038809416826,0.15210390621148306,0.09854194967459554,0.9498705345223003,0.9791087713006122
Atu0015,584.9663311228056,-0.11609929596338031,0.36786499244741927,-0.34197148587450826,0.7731070082648406,0.9303002483995435
Atu0016,1269.636106143106,0.22274414929623307,0.142587187579819,1.3918671303551993,0.14967327534330194,0.38999176290554644
Atu0017,512.0882061893434,0.10415009581033297,0.22168029802629424,0.5171277677098218,0.6270723803976949,0.8425495084189643
Atu0018,3529.1051747714187,-0.17586086090153183,0.17550092907793788,-1.025779568392357,0.3024993812827503,0.590623528512385
Atu0019,2501.235723954044,-0.2199717236774024,0.16578201650439142,-1.4809590267558252,0.1573425150283752,0.3967620219015632
Atu0020,3416.5844443560572,-0.18489641437204057,0.18824718012395647,-1.0658258804979122,0.27104454756225205,0.5004544628302997
Atu0021,2058.372713107343,0.1645612485570343,0.14297689694966323,1.1116172576686274,0.2385202894826142,0.5192851252973578
Atu0022,2845.9667450758293,-0.2274822545638201,0.18553350671398028,-1.1841239729270656,0.2636023110491548,0.5376436490196319
Atu0023,828.8097902458621,-0.14233667401988337,0.21460125118296466,-0.7235134929067923,0.5259254703441051,0.708067669255423
Atu0024,972.0513629510322,0.08079372474344503,0.19037638278590435,0.43766341062869024,0.6307847140712183,0.7850350774589653
Atu0025,520.1990750460873,0.14777979975331432,0.18155456756433866,0.871288689244137,0.41206194072418223,0.686516107907706
Atu0026,771.3877941727036,0.18234375271512293,0.17891766766184167,1.2529860145778497,0.23768835233642377,0.46905854775599715
Atu0027,2759.379066063252,0.07658966129284692,0.22868598368198365,0.39838031804076224,0.6424736227745306,0.8680951683872294
Atu0029,5891.1595677054365,-0.2904083002563589,0.3443019697357835,-0.8414814888838541,0.3901008586673254,0.6025267454813591
Atu0030,267.4487117427722,-0.25747537829378553,0.18178988241915467,-1.1639529871933203,0.20832055543047956,0.5034880040955367
Atu0031,732.2526297630662,-0.07357156576478067,0.14900738837814562,-0.4315520315686501,0.7096955550006985,0.7913468072533806
Atu0032,97.38153332808893,0.624288431874078,0.4246239115086849,1.4861489400754924,0.15090189421026057,0.38369325699003043
Atu0033,1694.827413723432,0.38464191342067816,0.2247839966327362,1.8105365433869358,0.0872660669222816,0.2857226014844117
Atu0034,2704.701345227712,0.46255278179531034,0.22334802551414967,2.0624983448236693,0.03090291088203579,0.13707330038242893
Atu0035,2035.4075554207145,1.0768266489371168,1.0212958360796691,1.04595802479804,,
Atu0036,214.09325244858022,-0.19321074349003908,0.2050454995876766,-0.8521080451060361,0.34233251154697497,0.6659695301462326
Atu0037,661.920780294904,-0.42148275465821816,0.18951740933202743,-2.374261428834767,0.02657604719102782,0.11684260921651543
Atu0038,158.06840381783337,-0.4732945407810326,0.25580882820048584,-2.284602812579223,0.035267678345794654,0.14503240807739146
Atu0039,519.9742538632572,-0.328012196893442,0.19573739477712843,-1.6813870037268799,0.08739177325309885,0.3021230337676038
Atu0040,747.6633534019473,-0.6313469053384991,0.1693349918773212,-3.3948237309647937,0.00039648561448028477,0.004901718323123827
Atu0041,531.1810471571565,-0.4201485548467066,0.1578764453897925,-2.8703311147559596,0.007138146844038992,0.048287798232985735
Atu0043,866.6189699427058,-0.3760683422619986,0.191281735880774,-2.028365830524741,0.04395014183231091,0.18890660951274785
Atu0044,2788.4291295561047,0.5582927889297902,0.2292110786454183,2.230347795878832,0.018875400450823147,0.08944676438717235
Atu0045,4950.349550020889,0.6304108559639501,0.266977579039761,2.3054611937334637,0.015884033237856324,0.08415861949017507
Atu0046,812.0094970592177,-0.09294339913018455,0.2746586955212881,-0.32152438272730677,0.7626804026232551,0.9132762063020999
Atu0047,3529.994988475807,0.6809851391427689,0.45680333355877023,1.4788724582291433,0.147561892320552,0.3568371088228185
Atu0048,1938.41978480936,-0.3659947109742856,0.15805776893126539,-2.3100102791334685,0.014750450737079568,0.07657159726263711
Atu0049,237.64949161667974,0.14451235008823235,0.22454242341567598,0.6522532303005785,0.5109399599769785,0.7393534121887804
Atu0050,985.5128044043078,0.003345098107384768,0.17968149069840614,0.01763024511342951,0.9646958033515599,0.9844549685480799
Atu0051,348.033018767657,0.02625973428271208,0.17102939066038994,0.144966645686549,0.8626011396093868,0.9259825601963362
Atu0052,654.4952123101308,-0.03861870411900629,0.15962195363954307,-0.24623580040195697,0.8294096538105299,0.9446404640633054
Atu0053,671.9538509238386,-0.2850041636207171,0.30312319328326665,-1.0133707944284618,0.33874085817853944,0.6103438640818112
Atu0054,2164.1712399952503,-0.1917727948667185,0.32119655610661,-0.5696880209584493,0.5435796968128987,0.7473999576570622
Atu0055,1082.8106689926065,0.11302029393530602,0.39956403685196784,0.2772449910015489,0.7117384167603948,0.9298056394945101
Atu0056,9217.816480378413,-0.016957072704288718,0.27692477255428405,-0.05521153041037454,0.9645443142407077,0.9629117720777857
Atu0057,1703.5452213210613,-0.39443528207611084,0.2519154292323029,-1.4798862859542408,0.14703906093691305,0.36875092090281775
Atu0058,789.0626743586843,-0.3748539835379493,0.34269085570459934,-1.1474984072399952,0.271619002591318,0.5726867627766821
Atu0059,187.87553441009572,-0.7061837043999756,0.38912002268474855,-1.8132673283919565,0.06085750284001912,0.211467424777062
Atu0060,110.26043565271952,-0.6636954192681259,0.5719199353429467,-1.3217518787816798,0.21543705589774056,0.4728175101460415
Atu0061,229.1650906895921,0.009052629670215445,0.18835916070526296,0.04641523113503694,0.9251157921430282,0.9515986764230389
Atu0062,367.8898932868594,0.622674302033723,0.40625109072698046,1.4648688746449066,0.12363027373396528,0.3611083100358191
Atu0063,8419.503951445586,0.8824845232473575,0.31628379861301853,2.926444027281518,0.005057045723311698,0.034987613600480215
Atu0064,2644.1651016857113,0.6750468964298152,0.3418611131389727,1.8753709083596233,0.0551488559776966,0.20861768275936454
Atu0065,1614.5494092417453,0.8466148943669339,0.2792084098133069,2.583872552915378,0.009188726818026786,0.051363229405176146
Atu0066,131.36609577010339,0.5959199217914405,0.34296109115722123,1.6577682261584759,0.10028334467194376,0.30452643039682814
Atu0068,1061.9956353697667,-1.226498829616478,0.28609556918385415,-4.336360130921375,1.4181613658008977e-05,0.00028728318638297204
Atu0069,553.642811400765,-1.0966286452395104,0.2255489235223084,-4.686667143401297,1.8483260015968517e-06,4.578305345192177e-05
Atu0070,2021.3621623644742,-1.488430948418957,0.18406375573941192,-8.570320614002158,8.312274210101399e-17,7.834284272262238e-15
Atu0071,1131.147675402606,-1.4738344728162514,0.1983790325140179,-8.089049900020779,1.2307312028922701e-14,9.587793566174539e-13
Atu0072,459.21033217963446,-0.33021767699773785,0.15963612737783225,-2.070560416318589,0.04484295354773078,0.16765925008424482
Atu0073,478.9395274964526,-0.06129132767151602,0.19651710267279535,-0.2892972761501456,0.7939819499551521,0.8549550569576844
Atu0074,380.2330156544938,-0.2262818722370489,0.18138916561471258,-1.2159068180752857,0.21633911023188995,0.46482892668282144
Atu0075,81.25352811882479,-0.26964755894703457,0.2796495848804351,-1.0498192536708912,0.3227580581279899,0.5661461421263249
Atu0076,154.169494869784,-0.1984599613977126,0.19368771051495015,-0.9559319211285185,0.33081223157969647,0.590152082360461
Atu0077,574.8455164070547,-0.16516880780270818,0.1595780686450679,-0.98007782827996,0.28730828853281015,0.5453615357716348
Atu0078,227.9588691089274,-0.8187401899661035,0.30659787143491307,-2.690188335946714,0.008688734816511879,0.059044098827779175
Atu0079,1558.5325021770984,-0.6492947916481309,0.17759443234908034,-3.3923633400561157,0.0005459772659189468,0.006700813839746569
Atu0080,229.4574499674307,-0.24084221608385886,0.18799594982742648,-1.1778491942091192,0.24430538761395112,0.4856811535825844
Atu0081,523.4914505278122,-0.5616656595181749,0.2886779462191272,-1.7201112705720272,0.07919220200385982,0.26041171250039097
Atu0082,14092.568035976152,-0.10816819619691134,0.24764776407776937,-0.4335074391464891,0.6930895961802502,0.8564872796229142
Atu0084,6477.459988345255,-0.5865191538696479,0.1887996323104606,-3.1512580506051364,0.0011965843432240192,0.012518029443313454
Atu0085,731.2961198086986,-0.6405629316941946,0.31035068909502894,-2.172530265878287,0.02744177862989901,0.12688748865931665
Atu0086,301.60676795507044,-0.9068139752795068,0.27635225981106654,-2.9024090640504485,0.0017120306109418431,0.017525359447232474
