,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Atu0001,157.30242237810063,-0.10635228277760053,0.23337239994056172,-0.4886847562174449,0.6768208979228038,0.7248665159983617
Atu0002,265.0840343615004,-0.16509368129563312,0.21633811276575782,-0.8608482901184916,0.39826227338613723,0.5118022959000068
Atu0003,441.0638134061214,-0.314076527659161,0.21554985087956569,-1.415477895294771,0.1503632767202949,0.26757917582961294
Atu0004,230.1951606960436,-0.27760301327090314,0.22569745313545972,-1.2990037565843018,0.20067506854069084,0.3258909115057719
Atu0005,795.856207770611,0.3187325197744299,0.24191671848706164,1.4932569633657808,0.16631652011937617,0.27344928555287434
Atu0006,3192.193151973984,-0.5348741356304996,0.2628252800903227,-2.309377920493006,0.0261232000598502,0.05975118979066168
Atu0007,877.7032666571527,0.7307003339582245,0.1909911780766548,3.4312794078030873,0.0003875784843167047,0.0017770096397156545
Atu0008,1827.9969315147416,0.6462696968840126,0.20483060982006812,3.2912775531557723,0.0009984433404123098,0.0040614347747654645
Atu0009,719.6343548485071,0.6852977323787584,0.20025446371483308,3.1236403624833198,0.0010231265687532043,0.004251009419313108
Atu0010,544.6666644333966,0.7748119759794704,0.2708148449671312,2.8615409015971505,0.004978342664588257,0.014565775249437338
Atu0011,71.05538407939403,0.9320482541449029,0.3088608017156658,2.822895903853459,0.004177330205082796,0.011893381494576747
Atu0012,4023.4889038122365,-0.2434546835929517,0.19250468466387735,-1.1114096673567484,0.2591724300921803,0.4120596110514636
Atu0013,790.7383975235475,0.08056242828350742,0.29131102767696815,0.26529468612612306,0.7337736269156337,0.8570131808936263
Atu0014,1742.013408719163,-0.2775413341963168,0.32797001278319243,-0.9878161432384767,0.3490112748877575,0.5190850857055008
Atu0015,659.9663287721486,0.1439480050650564,0.2791184538187693,0.5128769870615149,0.5680829248324986,0.7814661485388847
Atu0016,1262.632108050731,0.6005061756381874,0.25146186025428935,2.2740962686801183,0.021854015840234386,0.05346546688482391
Atu0017,422.92182702439675,-0.13760326515887056,0.20943088418733286,-0.6343489058265586,0.5917844401459081,0.6657282338496685
Atu0018,3449.1260493189916,-0.2775963978739749,0.18672370259097026,-1.4361784685015808,0.16275842286139275,0.2871319282523783
Atu0019,2229.1517919298144,-0.3528195557794614,0.20266035674078337,-1.9514168334371598,0.05860643815314284,0.11477714567794169
Atu0020,3141.0328279159944,-0.3845606370085165,0.17658205048792677,-2.0983326052937437,0.043681774224009415,0.09821129202969267
Atu0021,1891.1792795111737,-0.0285221479527284,0.19018263533275626,-0.17097603506366768,0.889437066419866,0.8816195081064288
Atu0022,3181.5152083442294,0.47456594032287097,0.1676096267596976,2.5353930608097945,0.010800196087660582,0.028748915221770383
Atu0023,567.3333843591566,-0.8025885645149707,0.2375211356236142,-3.3739843257830224,0.0005751573169321961,0.0022068090507449886
Atu0024,675.2793728234788,-0.37445578972425636,0.2718318667198374,-1.334194346255182,0.194371581043131,0.30127704173814507
Atu0025,421.63292489915926,-0.23952339278447687,0.2470072824424451,-1.0527489268147217,0.3091761362787121,0.4117669058778161
Atu0026,521.0362191539085,-0.1448983188665669,0.20864947284429528,-0.6965766010469976,0.47129799124123,0.6093079845203889
Atu0027,2337.6509492404116,-0.004234180170277528,0.16194806547020066,-0.02438983451036402,0.9647308504781138,0.9874586873000604
Atu0029,6017.981355547384,-0.13053121309471402,0.3915127018855289,-0.338163217038058,0.7779137774310487,0.8406936888992711
Atu0030,264.2264179211067,0.09985224737606414,0.21493306934387751,0.5062362000573342,0.5948004290121723,0.7149173243114021
Atu0031,756.680882380675,-0.22123332157795528,0.1811719590185003,-1.088445293311355,0.2533519724808091,0.37343839770568177
Atu0032,65.32072258005776,-0.08234225231812146,0.2972894677231988,-0.2765425265389284,0.7998626460764674,0.8917367998613686
Atu0033,1439.0888800595212,0.15928621429363593,0.219255931957506,0.8803769753007162,0.45358801339021304,0.5729123792084622
Atu0034,3118.800502118224,0.2274880680548212,0.1884662044494408,1.295126799659224,0.20308595163411763,0.32213577952964323
Atu0035,7406.876470794014,2.9801662853300517,0.4220799215585415,6.341816278129049,6.31044279554806e-11,1.1796170199761204e-09
Atu0036,137.91399941040876,-0.5846671098292598,0.24360944234807191,-2.3427023126880595,0.022547312861466676,0.05828027279126701
